Gonzalez, Scarlett  ID=149189      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY


Sanchez, Logan  ID=193266      1st Period Teacher=Fairfax O
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [School Board Member/SLP],  Fairfax O,  Presenter 21, N/A
2,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, 2nd
3,  [Firefighter/Paramedic Career and or venue owner],  Langley G,  Presenter 33, N/A
4,  [Being a Pilot],  Galloway J,  Presenter 31, N/A


Scott, Chloe  ID=192436      1st Period Teacher=Fairfax O
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Cybersecurity and hacking],  Whitmore H,  Presenter 41, N/A
2,  [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L,  Presenter 13, 5th
3,  [Personalities & Career Explorations],  Ashford S,  Presenter 7, 4th
4,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, 3rd


Thompson, Samuel  ID=189158      1st Period Teacher=Fairfax O
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Architecture - designing buildings big & small],  Eversley A,  Presenter 4, 6th
2,  [Becoming a Melbourne Police Officer],  Abernathy S,  Presenter 39, N/A
3,  [Practicing Now to Be an Author Later],  Rutherford E,  Presenter 34, N/A
4,  [Being a Pilot],  Galloway J,  Presenter 31, N/A


Perez, Samuel  ID=125254      1st Period Teacher=Fairfax O
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Career Paths for the Orthodontist],  Fitzwilliam J,  Presenter 6, 3rd
2,  [Being a Chiropractor],  Vance J,  Presenter 35, N/A
3,  [Career in the Legal Profession],  Fitzwilliam E,  Presenter 12, N/A
4,  [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L,  Presenter 13, N/A


Lopez, Emma  ID=154519      1st Period Teacher=Fairfax O
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Why Everyone Needs A Good Lawyer and How to Become One],  Wainwright J,  Presenter 11, 7th
2,  [A Career in Construction Management and Project Scheduling],  Montgomery C,  Presenter 19, 2nd
3,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, N/A
4,  [School Board Member/SLP],  Fairfax O,  Presenter 21, N/A


Taylor, Oliver  ID=129651      1st Period Teacher=Fairfax O
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Pathways to Success in the Pharmaceutical Industry],  Kingsley H,  Presenter 18, 2nd
2,  [A Career in Construction Management and Project Scheduling],  Montgomery C,  Presenter 19, N/A
3,  [Electrical Engineering],  Whitmore C,  Presenter 26, N/A
4,  [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O,  Presenter 40, N/A


Hall, Aria  ID=104490      1st Period Teacher=Fairfax O
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Follow the Money to Stop the Crime],  Beaumont S,  Presenter 14, N/A
2,  [A career in medicine],  Kingsley D,  Presenter 36, N/A
3,  [Pathways to Success in the Pharmaceutical Industry],  Kingsley H,  Presenter 18, 6th
4,  [Science behind Police Response to Traffic Crashes],  Blackwood I,  Presenter 24, N/A


Martin, William  ID=145957      1st Period Teacher=Fairfax O
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Being a Pilot],  Galloway J,  Presenter 31, N/A
2,  [Women in Electrical Engineering],  Marlowe B,  Presenter 1, N/A
3,  [Architecture - designing buildings big & small],  Eversley A,  Presenter 4, N/A
4,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A


Lee, Sebastian  ID=105979      1st Period Teacher=Fairfax R
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Engineering: a career with many changes],  Ravenscroft A,  Presenter 23, N/A
2,  [Women in Electrical Engineering],  Marlowe B,  Presenter 1, 5th
3,  [Being a Chiropractor],  Vance J,  Presenter 35, N/A
4,  [Space Based Intelligence Software],  Haverford G,  Presenter 15, N/A


White, William  ID=147702      1st Period Teacher=Fairfax R
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G,  Presenter 28, N/A
2,  [Careers in Cybersecurity],  Ravenscroft S,  Presenter 32, N/A
3,  [Being a Chiropractor],  Vance J,  Presenter 35, N/A
4,  [Being a Pilot],  Galloway J,  Presenter 31, N/A


Rivera, Scarlett  ID=121366      1st Period Teacher=Fairfax R
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Follow the Money to Stop the Crime],  Beaumont S,  Presenter 14, 2nd
2,  [Personalities & Career Explorations],  Ashford S,  Presenter 7, N/A
3,  [Electrical Engineering],  Whitmore C,  Presenter 26, N/A
4,  [A Career in Construction Management and Project Scheduling],  Montgomery C,  Presenter 19, N/A


Davis, Mia  ID=154542      1st Period Teacher=Fairfax R
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [A Career in Construction Management and Project Scheduling],  Montgomery C,  Presenter 19, N/A
2,  [Engineering: a career with many changes],  Ravenscroft A,  Presenter 23, N/A
3,  [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O,  Presenter 40, N/A
4,  [Personalities & Career Explorations],  Ashford S,  Presenter 7, N/A


Jones, Carter  ID=153125      1st Period Teacher=Fairfax R
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Not Just a nurse],  Davenport W,  Presenter 37, N/A
2,  [Finanical Literacy for Students],  Yardley A,  Presenter 8, N/A
3,  [Architecture - designing buildings big & small],  Eversley A,  Presenter 4, N/A
4,  [Career in Government],  Ormsby M,  Presenter 16, 4th


Taylor, Benjamin  ID=129447      1st Period Teacher=Fairfax R
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L,  Presenter 13, N/A
2,  [A career in medicine],  Kingsley D,  Presenter 36, N/A
3,  [Career Paths for the Orthodontist],  Fitzwilliam J,  Presenter 6, N/A
4,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, 6th


Torres, Aria  ID=101016      1st Period Teacher=Fairfax R
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L,  Presenter 13, N/A
2,  [Being a Chiropractor],  Vance J,  Presenter 35, N/A
3,  [Becoming a Sheriff],  Fairfax R,  Presenter 20, N/A
4,  [Career in the Legal Profession],  Fitzwilliam E,  Presenter 12, N/A


Anderson, James  ID=178749      1st Period Teacher=Fairfax R
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Careers in Chemistry at Kennedy Space Center],  Ingram O,  Presenter 17, 6th
2,  [Women in Electrical Engineering],  Marlowe B,  Presenter 1, N/A
3,  [A Career in Construction Management and Project Scheduling],  Montgomery C,  Presenter 19, N/A
4,  [Personalities & Career Explorations],  Ashford S,  Presenter 7, 4th


Wright, Aria  ID=185935      1st Period Teacher=Fairfax R
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Finanical Literacy for Students],  Yardley A,  Presenter 8, N/A
2,  [Becoming a Sheriff],  Fairfax R,  Presenter 20, N/A
3,  [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G,  Presenter 28, N/A
4,  [Career in Government],  Ormsby M,  Presenter 16, N/A


Brown, Sophia  ID=161922      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Personalities & Career Explorations],  Ashford S,  Presenter 7, 7th
2,  [Not Just a nurse],  Davenport W,  Presenter 37, N/A
3,  [Firefighter/Paramedic Career and or venue owner],  Langley G,  Presenter 33, N/A
4,  [The Entertainment Business],  Sinclair J,  Presenter 30, N/A


Thompson, Emma  ID=105020      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [The Entertainment Business],  Sinclair J,  Presenter 30, N/A
2,  [A Career in Construction Management and Project Scheduling],  Montgomery C,  Presenter 19, N/A
3,  [(CANCELLED) A career in educational administration],  Ravenscroft S,  Presenter 25, N/A
4,  [Nursing-the Most Versatile and Rewarding Career],  Quincy B,  Presenter 9, 4th


Hall, Daniel  ID=131455      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Being a Pilot],  Galloway J,  Presenter 31, N/A
2,  [Electrical Engineering],  Whitmore C,  Presenter 26, N/A
3,  [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M,  Presenter 27, N/A
4,  [Career Paths for the Orthodontist],  Fitzwilliam J,  Presenter 6, N/A


Rodriguez, Joseph  ID=190362      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Women in Electrical Engineering],  Marlowe B,  Presenter 1, N/A
2,  [Becoming a Melbourne Police Officer],  Abernathy S,  Presenter 39, N/A
3,  [Career in Government],  Ormsby M,  Presenter 16, N/A
4,  [Science behind Police Response to Traffic Crashes],  Blackwood I,  Presenter 24, N/A


Harris, Logan  ID=151104      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Electrical Engineering],  Whitmore C,  Presenter 26, N/A
2,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A
3,  [Architecture - designing buildings big & small],  Eversley A,  Presenter 4, 2nd
4,  [Being a Chiropractor],  Vance J,  Presenter 35, N/A


Roberts, Ava  ID=113425      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Cybersecurity and hacking],  Whitmore H,  Presenter 41, N/A
2,  [Follow the Money to Stop the Crime],  Beaumont S,  Presenter 14, N/A
3,  [Engineering: a career with many changes],  Ravenscroft A,  Presenter 23, N/A
4,  [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O,  Presenter 40, N/A


Hill, Sophia  ID=160959      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Engineering: a career with many changes],  Ravenscroft A,  Presenter 23, N/A
2,  [Science behind Police Response to Traffic Crashes],  Blackwood I,  Presenter 24, N/A
3,  [Career Paths for the Orthodontist],  Fitzwilliam J,  Presenter 6, 1st
4,  [Cybersecurity and hacking],  Whitmore H,  Presenter 41, N/A


Thompson, Isabella  ID=193655      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Practicing Now to Be an Author Later],  Rutherford E,  Presenter 34, N/A
2,  [Why You need a resume],  Greystone M,  Presenter 2, 1st
3,  [Science behind Police Response to Traffic Crashes],  Blackwood I,  Presenter 24, N/A
4,  [A career in medicine],  Kingsley D,  Presenter 36, N/A


Taylor, Daniel  ID=101710      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Not Just a nurse],  Davenport W,  Presenter 37, N/A
2,  [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G,  Presenter 28, N/A
3,  [Careers in Cybersecurity],  Ravenscroft S,  Presenter 32, N/A
4,  [Nursing-the Most Versatile and Rewarding Career],  Quincy B,  Presenter 9, N/A


Hernandez, Grace  ID=173889      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G,  Presenter 28, N/A
2,  [Career in the Legal Profession],  Fitzwilliam E,  Presenter 12, N/A
3,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, 6th
4,  [Women in Electrical Engineering],  Marlowe B,  Presenter 1, 5th


Thomas, Lucas  ID=180073      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Career in the Legal Profession],  Fitzwilliam E,  Presenter 12, N/A
2,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, N/A
3,  [Electrical Engineering],  Whitmore C,  Presenter 26, N/A
4,  [Career Paths for the Orthodontist],  Fitzwilliam J,  Presenter 6, N/A


Young, Camila  ID=142142      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A
2,  [The Entertainment Business],  Sinclair J,  Presenter 30, N/A
3,  [Why You need a resume],  Greystone M,  Presenter 2, 7th
4,  [Cybersecurity and hacking],  Whitmore H,  Presenter 41, N/A


Davis, Riley  ID=134297      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Cybersecurity and hacking],  Whitmore H,  Presenter 41, N/A
2,  [Pathways to Success in the Pharmaceutical Industry],  Kingsley H,  Presenter 18, 1st
3,  [Being a Pilot],  Galloway J,  Presenter 31, N/A
4,  [Being a Chiropractor],  Vance J,  Presenter 35, N/A


Allen, William  ID=190654      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [The Entertainment Business],  Sinclair J,  Presenter 30, N/A
2,  [Why Everyone Needs A Good Lawyer and How to Become One],  Wainwright J,  Presenter 11, N/A
3,  [School Board Member/SLP],  Fairfax O,  Presenter 21, N/A
4,  [Being a Chiropractor],  Vance J,  Presenter 35, 6th


Scott, Scarlett  ID=149962      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Engineering: a career with many changes],  Ravenscroft A,  Presenter 23, N/A
2,  [Firefighter/Paramedic Career and or venue owner],  Langley G,  Presenter 33, N/A
3,  [A Career in Construction Management and Project Scheduling],  Montgomery C,  Presenter 19, N/A
4,  [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G,  Presenter 28, N/A


Young, James  ID=170402      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M,  Presenter 27, N/A
2,  [Finanical Literacy for Students],  Yardley A,  Presenter 8, N/A
3,  [Personalities & Career Explorations],  Ashford S,  Presenter 7, N/A
4,  [Career Paths for the Orthodontist],  Fitzwilliam J,  Presenter 6, N/A


Smith, Jackson  ID=172316      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Personalities & Career Explorations],  Ashford S,  Presenter 7, N/A
2,  [Finanical Literacy for Students],  Yardley A,  Presenter 8, N/A
3,  [Careers in Cybersecurity],  Ravenscroft S,  Presenter 32, N/A
4,  [Career & Educational opportunities in the Air Force],  Tennyson C,  Presenter 5, N/A


Ramirez, Owen  ID=191300      1st Period Teacher=Fitzwilliam E
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G,  Presenter 28, N/A
2,  [Careers in Chemistry at Kennedy Space Center],  Ingram O,  Presenter 17, N/A
3,  [Not Just a nurse],  Davenport W,  Presenter 37, 4th
4,  [Career in Government],  Ormsby M,  Presenter 16, 5th


Harris, Gianna  ID=140814      1st Period Teacher=Fitzwilliam J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [A career in medicine],  Kingsley D,  Presenter 36, N/A
2,  [Sparking Innovation & Making an Impact],  Marlowe S,  Presenter 38, N/A
3,  [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L,  Presenter 13, N/A
4,  [Firefighter/Paramedic Career and or venue owner],  Langley G,  Presenter 33, N/A


Wilson, Jackson  ID=108342      1st Period Teacher=Fitzwilliam J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Science behind Police Response to Traffic Crashes],  Blackwood I,  Presenter 24, N/A
2,  [Pathways to Success in the Pharmaceutical Industry],  Kingsley H,  Presenter 18, N/A
3,  [Finanical Literacy for Students],  Yardley A,  Presenter 8, N/A
4,  [Sparking Innovation & Making an Impact],  Marlowe S,  Presenter 38, N/A


Torres, Joseph  ID=145862      1st Period Teacher=Fitzwilliam J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Sparking Innovation & Making an Impact],  Marlowe S,  Presenter 38, N/A
2,  [Space Based Intelligence Software],  Haverford G,  Presenter 15, N/A
3,  [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G,  Presenter 28, N/A
4,  [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M,  Presenter 27, N/A


Martinez, Liam  ID=120458      1st Period Teacher=Fitzwilliam J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Follow the Money to Stop the Crime],  Beaumont S,  Presenter 14, 5th
2,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A
3,  [Being a Chiropractor],  Vance J,  Presenter 35, N/A
4,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, N/A


Adams, Owen  ID=196887      1st Period Teacher=Fitzwilliam J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [A career in medicine],  Kingsley D,  Presenter 36, N/A
2,  [School Board Member/SLP],  Fairfax O,  Presenter 21, N/A
3,  [Nursing-the Most Versatile and Rewarding Career],  Quincy B,  Presenter 9, 1st
4,  [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G,  Presenter 28, N/A


Nguyen, Benjamin  ID=166810      1st Period Teacher=Fitzwilliam J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Nursing-the Most Versatile and Rewarding Career],  Quincy B,  Presenter 9, 5th
2,  [Careers in Cybersecurity],  Ravenscroft S,  Presenter 32, N/A
3,  [Firefighter/Paramedic Career and or venue owner],  Langley G,  Presenter 33, N/A
4,  [Architecture - designing buildings big & small],  Eversley A,  Presenter 4, N/A


Moore, William  ID=109118      1st Period Teacher=Fitzwilliam J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Practicing Now to Be an Author Later],  Rutherford E,  Presenter 34, N/A
2,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A
3,  [Being a Pilot],  Galloway J,  Presenter 31, N/A
4,  [Why You need a resume],  Greystone M,  Presenter 2, N/A


Miller, Oliver  ID=130015      1st Period Teacher=Fitzwilliam J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Firefighter/Paramedic Career and or venue owner],  Langley G,  Presenter 33, 1st
2,  [Architecture - designing buildings big & small],  Eversley A,  Presenter 4, N/A
3,  [Career in Government],  Ormsby M,  Presenter 16, N/A
4,  [A Career in Construction Management and Project Scheduling],  Montgomery C,  Presenter 19, N/A


Young, Samuel  ID=194037      1st Period Teacher=Fitzwilliam J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Practicing Now to Be an Author Later],  Rutherford E,  Presenter 34, 6th
2,  [Crime Scene Investigation],  Montgomery C,  Presenter 29, N/A
3,  [The Entertainment Business],  Sinclair J,  Presenter 30, N/A
4,  [Firefighter/Paramedic Career and or venue owner],  Langley G,  Presenter 33, N/A


Martin, Mia  ID=132239      1st Period Teacher=Fitzwilliam J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A
2,  [Careers in Chemistry at Kennedy Space Center],  Ingram O,  Presenter 17, N/A
3,  [Careers in Cybersecurity],  Ravenscroft S,  Presenter 32, N/A
4,  [A career in medicine],  Kingsley D,  Presenter 36, N/A


Smith, Alexander  ID=108710      1st Period Teacher=Fitzwilliam J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A
2,  [Women in Electrical Engineering],  Marlowe B,  Presenter 1, N/A
3,  [Pathways to Success in the Pharmaceutical Industry],  Kingsley H,  Presenter 18, N/A
4,  [Space Based Intelligence Software],  Haverford G,  Presenter 15, N/A


Davis, Scarlett  ID=172241      1st Period Teacher=Fitzwilliam J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O,  Presenter 40, N/A
2,  [Crime Scene Investigation],  Montgomery C,  Presenter 29, 2nd
3,  [Science behind Police Response to Traffic Crashes],  Blackwood I,  Presenter 24, N/A
4,  [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L,  Presenter 13, 1st


Mitchell, Olivia  ID=134160      1st Period Teacher=Fitzwilliam J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Becoming a Sheriff],  Fairfax R,  Presenter 20, N/A
2,  [Career in the Legal Profession],  Fitzwilliam E,  Presenter 12, N/A
3,  [Finanical Literacy for Students],  Yardley A,  Presenter 8, N/A
4,  [Nursing-the Most Versatile and Rewarding Career],  Quincy B,  Presenter 9, N/A


Martin, Oliver  ID=167976      1st Period Teacher=Galloway J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [School Board Member/SLP],  Fairfax O,  Presenter 21, N/A
2,  [Follow the Money to Stop the Crime],  Beaumont S,  Presenter 14, N/A
3,  [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O,  Presenter 40, N/A
4,  [Careers in Cybersecurity],  Ravenscroft S,  Presenter 32, N/A


Garcia, Logan  ID=181752      1st Period Teacher=Galloway J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Sparking Innovation & Making an Impact],  Marlowe S,  Presenter 38, N/A
2,  [Science behind Police Response to Traffic Crashes],  Blackwood I,  Presenter 24, N/A
3,  [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L,  Presenter 13, N/A
4,  [Personalities & Career Explorations],  Ashford S,  Presenter 7, 3rd


Robinson, Oliver  ID=197261      1st Period Teacher=Galloway J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [The Entertainment Business],  Sinclair J,  Presenter 30, N/A
2,  [Becoming a Melbourne Police Officer],  Abernathy S,  Presenter 39, N/A
3,  [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O,  Presenter 40, N/A
4,  [Practicing Now to Be an Author Later],  Rutherford E,  Presenter 34, N/A


Hill, Lucas  ID=125460      1st Period Teacher=Galloway J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Not Just a nurse],  Davenport W,  Presenter 37, N/A
2,  [Engineering: a career with many changes],  Ravenscroft A,  Presenter 23, N/A
3,  [Being a Pilot],  Galloway J,  Presenter 31, N/A
4,  [Becoming a Melbourne Police Officer],  Abernathy S,  Presenter 39, N/A


Mitchell, Owen  ID=163852      1st Period Teacher=Galloway J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, 5th
2,  [Cybersecurity and hacking],  Whitmore H,  Presenter 41, N/A
3,  [Electrical Engineering],  Whitmore C,  Presenter 26, N/A
4,  [Careers in Cybersecurity],  Ravenscroft S,  Presenter 32, N/A


Lewis, Jack  ID=135946      1st Period Teacher=Galloway J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Engineering: a career with many changes],  Ravenscroft A,  Presenter 23, N/A
2,  [A career in medicine],  Kingsley D,  Presenter 36, N/A
3,  [Career Paths for the Orthodontist],  Fitzwilliam J,  Presenter 6, 3rd
4,  [Career in Government],  Ormsby M,  Presenter 16, 4th


Rodriguez, Oliver  ID=129313      1st Period Teacher=Galloway J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Science behind Police Response to Traffic Crashes],  Blackwood I,  Presenter 24, N/A
2,  [Electrical Engineering],  Whitmore C,  Presenter 26, N/A
3,  [Career & Educational opportunities in the Air Force],  Tennyson C,  Presenter 5, N/A
4,  [Why You need a resume],  Greystone M,  Presenter 2, 5th


Allen, Zoey  ID=163513      1st Period Teacher=Galloway J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [School Board Member/SLP],  Fairfax O,  Presenter 21, N/A
2,  [Science behind Police Response to Traffic Crashes],  Blackwood I,  Presenter 24, N/A
3,  [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G,  Presenter 28, N/A
4,  [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M,  Presenter 27, N/A


Jackson, Harper  ID=153294      1st Period Teacher=Galloway J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M,  Presenter 27, N/A
2,  [Treating Cancer with Radiation],  Greystone O,  Presenter 10, 5th
3,  [Women in Electrical Engineering],  Marlowe B,  Presenter 1, 6th
4,  [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G,  Presenter 28, N/A


Mitchell, Isabella  ID=115029      1st Period Teacher=Galloway J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Space Based Intelligence Software],  Haverford G,  Presenter 15, N/A
2,  [Why Everyone Needs A Good Lawyer and How to Become One],  Wainwright J,  Presenter 11, N/A
3,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A
4,  [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O,  Presenter 40, N/A


Davis, Amelia  ID=120716      1st Period Teacher=Galloway J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G,  Presenter 28, 5th
2,  [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L,  Presenter 13, N/A
3,  [Follow the Money to Stop the Crime],  Beaumont S,  Presenter 14, N/A
4,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A


Miller, Amelia  ID=106346      1st Period Teacher=Galloway J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Architecture - designing buildings big & small],  Eversley A,  Presenter 4, 6th
2,  [Electrical Engineering],  Whitmore C,  Presenter 26, N/A
3,  [A career in medicine],  Kingsley D,  Presenter 36, N/A
4,  [Why You need a resume],  Greystone M,  Presenter 2, N/A


Williams, Ethan  ID=116666      1st Period Teacher=Galloway J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Becoming a Melbourne Police Officer],  Abernathy S,  Presenter 39, N/A
2,  [Cybersecurity and hacking],  Whitmore H,  Presenter 41, N/A
3,  [Nursing-the Most Versatile and Rewarding Career],  Quincy B,  Presenter 9, N/A
4,  [Science behind Police Response to Traffic Crashes],  Blackwood I,  Presenter 24, N/A


Lee, Amelia  ID=184766      1st Period Teacher=Galloway J
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Why Everyone Needs A Good Lawyer and How to Become One],  Wainwright J,  Presenter 11, N/A
2,  [Treating Cancer with Radiation],  Greystone O,  Presenter 10, N/A
3,  [Architecture - designing buildings big & small],  Eversley A,  Presenter 4, N/A
4,  [Finanical Literacy for Students],  Yardley A,  Presenter 8, N/A


