SUBJECT,  [Women in Electrical Engineering]
 Marlowe B by  Presenter 1
PERIOD, STUDENT LAST, STUDENT FIRST, SELECTION_LEVEL, FOLLOWING_SESSION, FOLLOWING_SESS_TEADCHER
1, Hall, Olivia,3rd, [Architecture - designing buildings big & small],  Eversley A
2, Baker, Alexander,5th, [Careers in Chemistry at Kennedy Space Center],  Ingram O
2, Walker, Gianna,6th, [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O
2, Torres, Joseph,N/A, [Becoming a Sheriff],  Fairfax R
2, Rivera, Scarlett,N/A, [Electrical Engineering],  Whitmore C
2, Miller, Isabella,2nd, [Treating Cancer with Radiation],  Greystone O
2, Young, Sophia,N/A, [Becoming a Sheriff],  Fairfax R
2, Johnson, Daniel,N/A, [Why You need a resume],  Greystone M
2, Martin, Charlotte,N/A, [Career Paths for the Orthodontist],  Fitzwilliam J
2, Robinson, Jack,N/A, [Pathways to Success in the Pharmaceutical Industry],  Kingsley H
2, Flores, Lily,N/A, [Nursing-the Most Versatile and Rewarding Career],  Quincy B
2, Gonzalez, Wyatt,N/A, [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G
2, Mitchell, Layla,N/A, [Why You need a resume],  Greystone M
2, Lopez, Scarlett,N/A, [Career in Government],  Ormsby M
3, Jackson, Henry,4th, [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G
3, Rivera, William,N/A, [Being a Chiropractor],  Vance J
3, Perez, Ethan,N/A, [Being a Chiropractor],  Vance J
3, Williams, Olivia,3rd, [Science behind Police Response to Traffic Crashes],  Blackwood I
3, Garcia, Lily,N/A, [Firefighter/Paramedic Career and or venue owner],  Langley G
3, Scott, Chloe,4th, [The Role of Local Government in Everyday Living],  Kingsley O
3, Taylor, Charlotte,1st, [Becoming a Melbourne Police Officer],  Abernathy S
3, Hernandez, Mateo,2nd, [A Career in Construction Management and Project Scheduling],  Montgomery C
3, Hernandez, Daniel,N/A, [Career in the Legal Profession],  Fitzwilliam E
3, Hill, Aria,N/A, [Being a Chiropractor],  Vance J
3, Walker, Scarlett,N/A, [Follow the Money to Stop the Crime],  Beaumont S
3, Young, James,N/A, [Career Paths for the Orthodontist],  Fitzwilliam J
3, Thompson, Mila,N/A, [Treating Cancer with Radiation],  Greystone O
3, Nelson, Mia,N/A, [Space Based Intelligence Software],  Haverford G
3, Smith, Benjamin,N/A, [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O
3, Lee, Scarlett,N/A, [Being a Pilot],  Galloway J
4, Rodriguez, Evelyn,6th,N/A, N/A
4, Wright, Ella,2nd,N/A, N/A
4, Garcia, Logan,3rd,N/A, N/A
4, Rivera, Ella,4th,N/A, N/A
4, Thomas, Isabella,N/A,N/A, N/A
4, Brown, Emma,5th,N/A, N/A
4, Martin, Zoey,N/A,N/A, N/A
4, Davis, Mia,N/A,N/A, N/A
4, Flores, Carter,N/A,N/A, N/A
4, Ramirez, Nora,7th,N/A, N/A
4, Anderson, James,4th,N/A, N/A
4, Roberts, Ellie,N/A,N/A, N/A
4, Carter, Jackson,5th,N/A, N/A
4, King, Ethan,N/A,N/A, N/A
4, Williams, Gianna,N/A,N/A, N/A
4, Jackson, Levi,4th,N/A, N/A
4, Jones, Samuel,N/A,N/A, N/A
4, Carter, Mila,4th,N/A, N/A


SUBJECT,  [Finanical Literacy for Students]
 Yardley A by  Presenter 8
PERIOD, STUDENT LAST, STUDENT FIRST, SELECTION_LEVEL, FOLLOWING_SESSION, FOLLOWING_SESS_TEADCHER
1, Martin, Henry,5th, [Treating Cancer with Radiation],  Greystone O
1, Gonzalez, Aiden,N/A, [Engineering: a career with many changes],  Ravenscroft A
1, Martinez, Alexander,4th, [School Board Member/SLP],  Fairfax O
1, Harris, Luna,N/A, [Why Everyone Needs A Good Lawyer and How to Become One],  Wainwright J
1, Jones, Aria,7th, [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M
1, Torres, Jack,N/A, [Careers in Chemistry at Kennedy Space Center],  Ingram O
1, Lewis, Jackson,N/A, [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M
1, Wright, Aria,N/A, [Becoming a Sheriff],  Fairfax R
1, Lee, William,N/A, [School Board Member/SLP],  Fairfax O
2, Harris, Wyatt,4th, [Pathways to Success in the Pharmaceutical Industry],  Kingsley H
2, Gonzalez, Scarlett,1st, [Exploring IT Careers],  Ellsworth G
2, Gonzalez, Lily,3rd, [Pathways to Success in the Pharmaceutical Industry],  Kingsley H
2, Taylor, Grace,7th, [Crime Scene Investigation],  Montgomery C
2, Walker, Jackson,N/A, [Crime Scene Investigation],  Montgomery C
2, Taylor, Nora,N/A, [(CANCELLED) A career in educational administration],  Ravenscroft S
2, Baker, Ella,N/A, [Sparking Innovation & Making an Impact],  Marlowe S
2, Hall, Scarlett,6th, [Architecture - designing buildings big & small],  Eversley A
2, Scott, William,N/A, [Why You need a resume],  Greystone M
2, Harris, Lucas,N/A, [Crime Scene Investigation],  Montgomery C
2, Jones, Carter,N/A, [Architecture - designing buildings big & small],  Eversley A
2, Thompson, Harper,N/A, [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G
2, Robinson, Ellie,N/A, [Sparking Innovation & Making an Impact],  Marlowe S
2, Roberts, Ella,N/A, [The Entertainment Business],  Sinclair J
2, Carter, Elijah,N/A, [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M
2, Torres, Mason,N/A, [Crime Scene Investigation],  Montgomery C
2, Young, James,N/A, [Personalities & Career Explorations],  Ashford S
2, Smith, Jackson,N/A, [Careers in Cybersecurity],  Ravenscroft S
2, Allen, Ethan,N/A, [A career in medicine],  Kingsley D
2, Torres, Chloe,N/A, [Careers in Chemistry at Kennedy Space Center],  Ingram O
2, Anderson, Aiden,N/A, [Being a Chiropractor],  Vance J
3, Anderson, Joseph,N/A, [(CANCELLED) A career in educational administration],  Ravenscroft S
3, Wilson, Jackson,N/A, [Sparking Innovation & Making an Impact],  Marlowe S
3, Jones, Henry,N/A, [Careers in Chemistry at Kennedy Space Center],  Ingram O
3, Taylor, Gianna,N/A, [Practicing Now to Be an Author Later],  Rutherford E
3, Johnson, William,3rd, [Science behind Police Response to Traffic Crashes],  Blackwood I
3, Perez, Oliver,4th, [A career in medicine],  Kingsley D
3, Flores, Joseph,N/A, [Career in Government],  Ormsby M
3, King, Ethan,N/A, [Personalities & Career Explorations],  Ashford S
3, Thompson, Chloe,N/A, [The Entertainment Business],  Sinclair J
3, Mitchell, Olivia,N/A, [Nursing-the Most Versatile and Rewarding Career],  Quincy B
3, Martinez, Luna,N/A, [Career in the Legal Profession],  Fitzwilliam E
4, Lopez, Chloe,6th,N/A, N/A
4, Sanchez, Chloe,1st,N/A, N/A
4, Flores, Lily,N/A,N/A, N/A
4, White, Emma,N/A,N/A, N/A
4, Harris, James,3rd,N/A, N/A
4, White, Ethan,N/A,N/A, N/A
4, Jackson, Ava,N/A,N/A, N/A
4, Wilson, Zoey,N/A,N/A, N/A
4, White, Sebastian,N/A,N/A, N/A
4, Lee, Amelia,N/A,N/A, N/A
4, Smith, Owen,N/A,N/A, N/A


SUBJECT,  [Nursing-the Most Versatile and Rewarding Career]
 Quincy B by  Presenter 9
PERIOD, STUDENT LAST, STUDENT FIRST, SELECTION_LEVEL, FOLLOWING_SESSION, FOLLOWING_SESS_TEADCHER
1, Perez, Camila,1st, [Space Based Intelligence Software],  Haverford G
1, Lopez, Chloe,N/A, [A Career in Construction Management and Project Scheduling],  Montgomery C
1, Williams, Olivia,1st, [Crime Scene Investigation],  Montgomery C
1, Scott, William,5th, [Finanical Literacy for Students],  Yardley A
1, Nguyen, Oliver,N/A, [Career in the Legal Profession],  Fitzwilliam E
1, Nguyen, Benjamin,5th, [Careers in Cybersecurity],  Ravenscroft S
1, Hernandez, Harper,N/A, [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L
1, Miller, Joseph,N/A, [Architecture - designing buildings big & small],  Eversley A
1, Harris, Gianna,N/A, [Space Based Intelligence Software],  Haverford G
2, Martin, William,3rd, [Careers in Chemistry at Kennedy Space Center],  Ingram O
2, Wright, Benjamin,5th, [The Role of Local Government in Everyday Living],  Kingsley O
2, Gonzalez, Logan,1st, [Cybersecurity and hacking],  Whitmore H
2, Ramirez, Jack,N/A, [Electrical Engineering],  Whitmore C
2, Baker, Layla,N/A, [Crime Scene Investigation],  Montgomery C
2, Carter, Sophia,N/A, [Being a Pilot],  Galloway J
2, Torres, Camila,N/A, [Exploring IT Careers],  Ellsworth G
2, Baker, Mia,N/A, [A Career in Construction Management and Project Scheduling],  Montgomery C
2, Hernandez, Daniel,5th, [Personalities & Career Explorations],  Ashford S
2, Roberts, Mila,N/A, [The Entertainment Business],  Sinclair J
2, Nelson, Jackson,N/A, [Career & Educational opportunities in the Air Force],  Tennyson C
2, Jackson, Harper,N/A, [(CANCELLED) A career in educational administration],  Ravenscroft S
2, Flores, Joseph,2nd, [Finanical Literacy for Students],  Yardley A
2, Torres, Lily,1st, [Crime Scene Investigation],  Montgomery C
2, Sanchez, Oliver,N/A, [The Role of Local Government in Everyday Living],  Kingsley O
2, Robinson, Evelyn,N/A, [Engineering: a career with many changes],  Ravenscroft A
2, Hill, Joseph,N/A, [The Entertainment Business],  Sinclair J
2, White, Liam,N/A, [Women in Electrical Engineering],  Marlowe B
3, Davis, Aria,2nd, [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L
3, Scott, Sebastian,N/A, [(CANCELLED) A career in educational administration],  Ravenscroft S
3, Carter, Noah,3rd, [Becoming a Sheriff],  Fairfax R
3, Hill, Wyatt,1st, [The Entertainment Business],  Sinclair J
3, Adams, Owen,1st, [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G
3, Martinez, Jackson,N/A, [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G
3, Scott, Wyatt,4th, [The Role of Local Government in Everyday Living],  Kingsley O
3, Harris, Luna,N/A, [A Career in Construction Management and Project Scheduling],  Montgomery C
3, Allen, Aria,N/A, [The Role of Local Government in Everyday Living],  Kingsley O
3, Clark, Jackson,N/A, [Exploring IT Careers],  Ellsworth G
3, Green, Evelyn,N/A, [Engineering: a career with many changes],  Ravenscroft A
3, Perez, Nora,N/A, [Firefighter/Paramedic Career and or venue owner],  Langley G
3, Lee, Alexander,N/A, [Engineering: a career with many changes],  Ravenscroft A
3, Flores, Lily,N/A, [Practicing Now to Be an Author Later],  Rutherford E
3, Williams, Ethan,N/A, [Science behind Police Response to Traffic Crashes],  Blackwood I
3, King, Ava,N/A, [Careers in Chemistry at Kennedy Space Center],  Ingram O
3, Roberts, Charlotte,N/A, [The Role of Local Government in Everyday Living],  Kingsley O
4, Scott, Ella,2nd,N/A, N/A
4, Thompson, Emma,4th,N/A, N/A
4, Taylor, Aiden,6th,N/A, N/A
4, Johnson, Joseph,3rd,N/A, N/A
4, White, William,4th,N/A, N/A
4, Taylor, Daniel,N/A,N/A, N/A
4, Carter, Ava,N/A,N/A, N/A
4, Wright, Layla,N/A,N/A, N/A
4, Gonzalez, Zoey,N/A,N/A, N/A
4, Johnson, Owen,2nd,N/A, N/A
4, Carter, Emma,N/A,N/A, N/A
4, Jackson, Mateo,N/A,N/A, N/A
4, Mitchell, Olivia,N/A,N/A, N/A


SUBJECT,  [Treating Cancer with Radiation]
 Greystone O by  Presenter 10
PERIOD, STUDENT LAST, STUDENT FIRST, SELECTION_LEVEL, FOLLOWING_SESSION, FOLLOWING_SESS_TEADCHER
1, Baker, Alexander,N/A, [A Career in Construction Management and Project Scheduling],  Montgomery C
1, Moore, Owen,N/A, [Being a Pilot],  Galloway J
1, Rivera, William,N/A, [Architecture - designing buildings big & small],  Eversley A
1, Jones, Mia,N/A, [Not Just a nurse],  Davenport W
1, Thomas, Sebastian,N/A, [Career & Educational opportunities in the Air Force],  Tennyson C
1, Lewis, Noah,N/A, [Careers in Cybersecurity],  Ravenscroft S
1, Lee, Nora,N/A, [Being a Pilot],  Galloway J
1, Young, Sophia,1st, [Personalities & Career Explorations],  Ashford S
1, Allen, Henry,N/A, [Being a Chiropractor],  Vance J
1, Jones, Mia,N/A, [School Board Member/SLP],  Fairfax O
1, Hernandez, Aiden,N/A, [Being a Chiropractor],  Vance J
1, Brown, Mateo,N/A, [Why You need a resume],  Greystone M
2, Lopez, Zoey,1st, [The Entertainment Business],  Sinclair J
2, Martin, Henry,6th, [Being a Chiropractor],  Vance J
2, Hall, Samuel,5th, [Sparking Innovation & Making an Impact],  Marlowe S
2, Jackson, Benjamin,6th, [Being a Chiropractor],  Vance J
2, Hernandez, Joseph,N/A, [Pathways to Success in the Pharmaceutical Industry],  Kingsley H
2, Jackson, Harper,5th, [Women in Electrical Engineering],  Marlowe B
2, Moore, Ethan,N/A, [Practicing Now to Be an Author Later],  Rutherford E
2, Hernandez, Levi,N/A, [The Entertainment Business],  Sinclair J
2, Harris, Levi,7th, [The Role of Local Government in Everyday Living],  Kingsley O
2, Moore, Joseph,N/A, [Practicing Now to Be an Author Later],  Rutherford E
2, Martinez, Levi,N/A, [Career & Educational opportunities in the Air Force],  Tennyson C
2, Lee, Amelia,N/A, [Architecture - designing buildings big & small],  Eversley A
2, Sanchez, Charlotte,2nd, [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M
3, Miller, Carter,N/A, [Career & Educational opportunities in the Air Force],  Tennyson C
3, Allen, Mila,2nd, [Firefighter/Paramedic Career and or venue owner],  Langley G
3, Harris, William,N/A, [Being a Pilot],  Galloway J
3, Rivera, Chloe,N/A, [A Career in Construction Management and Project Scheduling],  Montgomery C
3, Miller, Isabella,N/A, [Firefighter/Paramedic Career and or venue owner],  Langley G
3, Clark, Ellie,N/A, [Career Paths for the Orthodontist],  Fitzwilliam J
3, Jackson, Emma,7th, [A career in medicine],  Kingsley D
3, Harris, Owen,3rd, [Space Based Intelligence Software],  Haverford G
3, Williams, Emma,N/A, [Science behind Police Response to Traffic Crashes],  Blackwood I
3, Jones, Aria,N/A, [Career & Educational opportunities in the Air Force],  Tennyson C
3, Rodriguez, Aria,N/A, [Sparking Innovation & Making an Impact],  Marlowe S
3, Rodriguez, Olivia,N/A, [Follow the Money to Stop the Crime],  Beaumont S
3, Baker, Sophia,4th, [Cybersecurity and hacking],  Whitmore H
4, Lee, Wyatt,N/A,N/A, N/A
4, Gonzalez, Camila,N/A,N/A, N/A
4, White, Ellie,N/A,N/A, N/A
4, Torres, Ella,5th,N/A, N/A
4, Thompson, Mila,N/A,N/A, N/A
4, Nelson, Scarlett,7th,N/A, N/A
4, Clark, Nora,N/A,N/A, N/A


SUBJECT,  [Why Everyone Needs A Good Lawyer and How to Become One]
 Wainwright J by  Presenter 11
PERIOD, STUDENT LAST, STUDENT FIRST, SELECTION_LEVEL, FOLLOWING_SESSION, FOLLOWING_SESS_TEADCHER
1, Martinez, Liam,N/A, [Becoming a Melbourne Police Officer],  Abernathy S
1, Lewis, Sebastian,N/A, [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G
1, Flores, James,N/A, [Not Just a nurse],  Davenport W
1, Martinez, Ava,7th, [Firefighter/Paramedic Career and or venue owner],  Langley G
1, Adams, Alexander,7th, [The Entertainment Business],  Sinclair J
1, Hall, Scarlett,N/A, [Finanical Literacy for Students],  Yardley A
1, Garcia, Olivia,N/A, [Follow the Money to Stop the Crime],  Beaumont S
1, Lewis, Luna,N/A, [Firefighter/Paramedic Career and or venue owner],  Langley G
1, Lopez, Emma,7th, [A Career in Construction Management and Project Scheduling],  Montgomery C
1, Flores, Camila,N/A, [Architecture - designing buildings big & small],  Eversley A
1, Martin, Isabella,N/A, [Being a Chiropractor],  Vance J
1, Harris, Riley,7th, [Not Just a nurse],  Davenport W
1, Clark, Elijah,N/A, [Crime Scene Investigation],  Montgomery C
1, Robinson, Samuel,N/A, [The Role of Local Government in Everyday Living],  Kingsley O
1, Torres, Lily,4th, [Exploring IT Careers],  Ellsworth G
1, Lee, Ella,N/A, [Careers in Chemistry at Kennedy Space Center],  Ingram O
1, Wilson, Zoey,2nd, [Follow the Money to Stop the Crime],  Beaumont S
1, King, Ethan,5th, [The Role of Local Government in Everyday Living],  Kingsley O
1, Lee, Amelia,N/A, [Treating Cancer with Radiation],  Greystone O
1, Nelson, Henry,N/A, [Space Based Intelligence Software],  Haverford G
2, Nelson, Samuel,N/A, [Being a Chiropractor],  Vance J
2, Scott, Ella,N/A, [Being a Pilot],  Galloway J
2, Young, Layla,N/A, [Cybersecurity and hacking],  Whitmore H
2, King, Isabella,N/A, [Women in Electrical Engineering],  Marlowe B
2, Baker, Sophia,N/A, [Career Paths for the Orthodontist],  Fitzwilliam J
2, Harris, Mateo,N/A, [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O
2, Allen, William,N/A, [School Board Member/SLP],  Fairfax O
2, Martinez, Jackson,7th, [Nursing-the Most Versatile and Rewarding Career],  Quincy B
2, Mitchell, Isabella,N/A, [Exploring IT Careers],  Ellsworth G
2, Williams, Ethan,N/A, [Women in Electrical Engineering],  Marlowe B
2, Harris, Luna,N/A, [Nursing-the Most Versatile and Rewarding Career],  Quincy B
2, Roberts, Amelia,7th, [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L
2, Hill, Layla,N/A, [A Career in Construction Management and Project Scheduling],  Montgomery C
2, Hall, Oliver,3rd, [Career in Government],  Ormsby M
2, Sanchez, Sophia,1st, [Architecture - designing buildings big & small],  Eversley A
2, Perez, Gianna,N/A, [Crime Scene Investigation],  Montgomery C
2, Lee, Scarlett,7th, [Personalities & Career Explorations],  Ashford S
3, Flores, Ava,7th, [Being a Chiropractor],  Vance J
3, Allen, Henry,5th, [Cybersecurity and hacking],  Whitmore H
3, Wilson, Zoey,N/A, [Finanical Literacy for Students],  Yardley A
3, Scott, Camila,6th, [Career Paths for the Orthodontist],  Fitzwilliam J
3, Rivera, Zoey,N/A, [Firefighter/Paramedic Career and or venue owner],  Langley G
4, King, Harper,N/A,N/A, N/A
4, Lee, Sophia,N/A,N/A, N/A
4, Ramirez, Jack,N/A,N/A, N/A
4, Torres, Joseph,6th,N/A, N/A
4, Perez, Aria,N/A,N/A, N/A
4, Taylor, Nora,2nd,N/A, N/A
4, Adams, Chloe,N/A,N/A, N/A
4, Perez, Joseph,N/A,N/A, N/A
4, Roberts, Sophia,N/A,N/A, N/A
4, Martinez, Mason,N/A,N/A, N/A
4, Williams, Mia,4th,N/A, N/A
4, Martin, Jackson,N/A,N/A, N/A
4, Wright, Levi,5th,N/A, N/A
4, Thompson, Lucas,N/A,N/A, N/A
4, Hill, Joseph,N/A,N/A, N/A


SUBJECT,  [Career in the Legal Profession]
 Fitzwilliam E by  Presenter 12
PERIOD, STUDENT LAST, STUDENT FIRST, SELECTION_LEVEL, FOLLOWING_SESSION, FOLLOWING_SESS_TEADCHER
1, Davis, Logan,N/A, [Pathways to Success in the Pharmaceutical Industry],  Kingsley H
1, Thomas, Lucas,N/A, [The Role of Local Government in Everyday Living],  Kingsley O
1, White, Emma,N/A, [Women in Electrical Engineering],  Marlowe B
1, Green, Logan,N/A, [School Board Member/SLP],  Fairfax O
1, Sanchez, Liam,N/A, [Becoming a Sheriff],  Fairfax R
1, Jackson, Ava,N/A, [A career in medicine],  Kingsley D
1, Clark, Liam,N/A, [Being a Chiropractor],  Vance J
1, White, Sebastian,N/A, [Pathways to Success in the Pharmaceutical Industry],  Kingsley H
1, Moore, Henry,N/A, [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O
1, Roberts, Charlotte,N/A, [Sparking Innovation & Making an Impact],  Marlowe S
2, Anderson, Joseph,N/A, [Finanical Literacy for Students],  Yardley A
2, Flores, Sebastian,N/A, [Why You need a resume],  Greystone M
2, Moore, Ethan,N/A, [Pathways to Success in the Pharmaceutical Industry],  Kingsley H
2, Clark, Ellie,N/A, [Treating Cancer with Radiation],  Greystone O
2, Nguyen, Oliver,3rd, [Sparking Innovation & Making an Impact],  Marlowe S
2, Jackson, Emma,N/A, [Treating Cancer with Radiation],  Greystone O
2, Hernandez, Grace,N/A, [The Role of Local Government in Everyday Living],  Kingsley O
2, Robinson, Owen,N/A, [Exploring IT Careers],  Ellsworth G
2, Williams, Emma,N/A, [Treating Cancer with Radiation],  Greystone O
2, Martinez, Amelia,3rd, [The Entertainment Business],  Sinclair J
2, Mitchell, Olivia,N/A, [Finanical Literacy for Students],  Yardley A
3, Hill, Camila,N/A, [Engineering: a career with many changes],  Ravenscroft A
3, Nguyen, Harper,N/A, [School Board Member/SLP],  Fairfax O
3, Adams, Sophia,N/A, [Becoming a Melbourne Police Officer],  Abernathy S
3, Moore, Owen,N/A, [(CANCELLED) A career in educational administration],  Ravenscroft S
3, Thomas, Nora,4th, [The Role of Local Government in Everyday Living],  Kingsley O
3, Baker, Daniel,N/A, [Women in Electrical Engineering],  Marlowe B
3, Perez, Samuel,N/A, [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L
3, Hall, Lily,7th, [The Role of Local Government in Everyday Living],  Kingsley O
3, Perez, Liam,N/A, [A career in medicine],  Kingsley D
3, Jones, Mia,N/A, [Architecture - designing buildings big & small],  Eversley A
3, Martin, Charlotte,4th, [Exploring IT Careers],  Ellsworth G
3, Williams, Aria,N/A, [Being a Chiropractor],  Vance J
3, Williams, Gianna,N/A, [Personalities & Career Explorations],  Ashford S
3, Garcia, James,2nd, [The Role of Local Government in Everyday Living],  Kingsley O
3, Campbell, Mason,N/A, [Career in Government],  Ormsby M
3, Gonzalez, Ethan,N/A, [Space Based Intelligence Software],  Haverford G
4, Baker, Alexander,N/A,N/A, N/A
4, Taylor, Mia,N/A,N/A, N/A
4, Gonzalez, Aiden,1st,N/A, N/A
4, Moore, Benjamin,N/A,N/A, N/A
4, Flores, Alexander,5th,N/A, N/A
4, Wright, Liam,4th,N/A, N/A
4, Campbell, Alexander,N/A,N/A, N/A
4, Martinez, Alexander,N/A,N/A, N/A
4, Miller, Ethan,N/A,N/A, N/A
4, Flores, Gianna,6th,N/A, N/A
4, Hernandez, Daniel,N/A,N/A, N/A
4, Adams, Mia,N/A,N/A, N/A
4, Robinson, Ellie,N/A,N/A, N/A
4, Torres, Lily,N/A,N/A, N/A
4, Lee, Ella,N/A,N/A, N/A
4, Torres, Aria,N/A,N/A, N/A
4, Harris, Gianna,2nd,N/A, N/A
4, Roberts, Nora,N/A,N/A, N/A
4, Ramirez, Joseph,N/A,N/A, N/A
4, Perez, Lily,4th,N/A, N/A
4, Martinez, Luna,N/A,N/A, N/A


SUBJECT,  [Planes Trains and Automobiles - Mechanical Engineering in many sectors]
 Radcliffe L by  Presenter 13
PERIOD, STUDENT LAST, STUDENT FIRST, SELECTION_LEVEL, FOLLOWING_SESSION, FOLLOWING_SESS_TEADCHER
1, Robinson, Sebastian,N/A, [Pathways to Success in the Pharmaceutical Industry],  Kingsley H
1, Miller, Charlotte,N/A, [Electrical Engineering],  Whitmore C
1, Allen, Mila,N/A, [Electrical Engineering],  Whitmore C
1, Campbell, Samuel,N/A, [Firefighter/Paramedic Career and or venue owner],  Langley G
1, Gonzalez, Logan,N/A, [Nursing-the Most Versatile and Rewarding Career],  Quincy B
1, Rivera, Mila,N/A, [Becoming a Sheriff],  Fairfax R
1, Baker, Layla,N/A, [Nursing-the Most Versatile and Rewarding Career],  Quincy B
1, Hernandez, Mateo,N/A, [Follow the Money to Stop the Crime],  Beaumont S
1, Hernandez, Levi,6th, [Treating Cancer with Radiation],  Greystone O
1, Wilson, Olivia,N/A, [Space Based Intelligence Software],  Haverford G
1, Harris, James,N/A, [Being a Pilot],  Galloway J
1, Taylor, Benjamin,N/A, [A career in medicine],  Kingsley D
1, Thomas, Charlotte,7th, [A career in medicine],  Kingsley D
1, Johnson, Joseph,N/A, [(CANCELLED) A career in educational administration],  Ravenscroft S
1, White, Benjamin,3rd, [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M
1, Torres, Aria,N/A, [Being a Chiropractor],  Vance J
1, Martin, Gianna,N/A, [Pathways to Success in the Pharmaceutical Industry],  Kingsley H
1, Sanchez, Charlotte,N/A, [Treating Cancer with Radiation],  Greystone O
1, Hill, Joseph,N/A, [Nursing-the Most Versatile and Rewarding Career],  Quincy B
1, Hernandez, Ella,N/A, [Being a Chiropractor],  Vance J
1, Miller, Carter,N/A, [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M
2, White, Elijah,3rd, [Follow the Money to Stop the Crime],  Beaumont S
2, Jackson, Ella,N/A, [School Board Member/SLP],  Fairfax O
2, Thompson, Ava,3rd, [Firefighter/Paramedic Career and or venue owner],  Langley G
2, Scott, Chloe,5th, [Personalities & Career Explorations],  Ashford S
2, Rodriguez, Liam,N/A, [Follow the Money to Stop the Crime],  Beaumont S
2, Hill, Aria,N/A, [Personalities & Career Explorations],  Ashford S
2, Gonzalez, Zoey,N/A, [Careers in Chemistry at Kennedy Space Center],  Ingram O
2, Hernandez, Harper,N/A, [Space Based Intelligence Software],  Haverford G
2, Davis, Amelia,N/A, [Follow the Money to Stop the Crime],  Beaumont S
2, Rodriguez, Aria,N/A, [Treating Cancer with Radiation],  Greystone O
2, Smith, Henry,2nd, [Not Just a nurse],  Davenport W
2, Walker, Aiden,N/A, [(CANCELLED) A career in educational administration],  Ravenscroft S
3, Harris, Gianna,N/A, [Firefighter/Paramedic Career and or venue owner],  Langley G
3, Garcia, Logan,N/A, [Personalities & Career Explorations],  Ashford S
3, Taylor, Emma,N/A, [The Entertainment Business],  Sinclair J
3, Thomas, Isabella,N/A, [Personalities & Career Explorations],  Ashford S
3, Robinson, Jack,N/A, [Women in Electrical Engineering],  Marlowe B
3, Davis, William,N/A, [Being a Pilot],  Galloway J
3, Anderson, Joseph,N/A, [Career Paths for the Orthodontist],  Fitzwilliam J
3, Nelson, William,5th, [Being a Pilot],  Galloway J
3, Roberts, Jack,3rd, [(CANCELLED) A career in educational administration],  Ravenscroft S
3, Thomas, Layla,N/A, [Pathways to Success in the Pharmaceutical Industry],  Kingsley H
3, Wright, Ellie,N/A, [(CANCELLED) A career in educational administration],  Ravenscroft S
3, Roberts, Amelia,N/A, [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G
3, Smith, Liam,N/A, [Being a Chiropractor],  Vance J
3, Robinson, Lucas,N/A, [Becoming a Sheriff],  Fairfax R
3, Wright, Samuel,N/A, [Cybersecurity and hacking],  Whitmore H
4, Martinez, Liam,N/A,N/A, N/A
4, Walker, Evelyn,N/A,N/A, N/A
4, Davis, Aria,N/A,N/A, N/A
4, Perez, Samuel,N/A,N/A, N/A
4, Gonzalez, Mia,N/A,N/A, N/A
4, Lee, Riley,2nd,N/A, N/A
4, Gonzalez, Lily,N/A,N/A, N/A
4, Ramirez, Charlotte,N/A,N/A, N/A
4, Allen, Ethan,N/A,N/A, N/A
4, Davis, Scarlett,1st,N/A, N/A


SUBJECT,  [Follow the Money to Stop the Crime]
 Beaumont S by  Presenter 14
PERIOD, STUDENT LAST, STUDENT FIRST, SELECTION_LEVEL, FOLLOWING_SESSION, FOLLOWING_SESS_TEADCHER
1, Scott, James,N/A, [A career in medicine],  Kingsley D
1, Smith, Samuel,N/A, [Firefighter/Paramedic Career and or venue owner],  Langley G
1, Jackson, Jack,N/A, [Not Just a nurse],  Davenport W
1, Torres, Joseph,N/A, [Personalities & Career Explorations],  Ashford S
1, Rivera, Scarlett,2nd, [Personalities & Career Explorations],  Ashford S
1, Lopez, Luna,N/A, [Electrical Engineering],  Whitmore C
1, Jones, Carter,N/A, [Architecture - designing buildings big & small],  Eversley A
1, Flores, Carter,N/A, [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G
